name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
GOT7,https://static.wikia.nocookie.net/kpop/images/9/9b/GOT7_Winter_Heptagon_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20241226201039,갓세븐,,,"Seoul, South Korea","Pop, hip-hop, R&B","January 16, 2014",,2014–present,Kakao Entertainment (2024–present) Warner Music Korea (2022–2024) JYP Entertainment (2014–2021),JJ Project Jus2 JYP Nation,"['Mark', 'JAY B', 'Jackson', 'Jinyoung', 'Youngjae', 'BamBam', 'Yugyeom']",[],['https://bio.to/GOT7_isourname'],"['https://www.instagram.com/got7.with.igot7/', 'https://www.instagram.com/got7_isourname/', 'https://www.tiktok.com/@got7_isourname', 'https://twitter.com/GOT7Official', 'https://twitter.com/GOT7', 'https://www.youtube.com/channel/UCNtZPzvkjjB3EuPMNY71cmA']",IGOT7 (아이갓세븐) [n 1],Green,GOT7 Wiki,,GOT7,https://kpop.fandom.com/wiki/GOT7,group,male,"{'subscribers': 2430000, 'top_videos': []}",2430000.0,[],"['https://www.instagram.com/got7.with.igot7/', 'https://www.instagram.com/got7_isourname/', 'https://www.tiktok.com/@got7_isourname', 'https://twitter.com/GOT7Official', 'https://twitter.com/GOT7', 'https://www.youtube.com/channel/UCNtZPzvkjjB3EuPMNY71cmA']",https://www.youtube.com/channel/UCNtZPzvkjjB3EuPMNY71cmA
GreatGuys,https://static.wikia.nocookie.net/kpop/images/7/74/GreatGuys_Change_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240623132603,멋진녀석들,,,South Korea,Pop,"August 25, 2017",,2017–present,DNA Entertainment (South Korea) PLUSWIN Entertainment (Japan),,"['Ho Ryeong', 'Dong Hwi']","['Jae I', 'Han Eul', 'Da Un', 'Dong In', 'Hwal Chan', 'Ui Yeon']",['http://dnaent.co.kr/artists/?p_url=artists_2'],"['http://cafe.daum.net/GreatGuysOfficial', 'https://www.instagram.com/greatguys_official/', 'https://www.tiktok.com/@greatguys__official', 'https://twitter.com/GreatGuys_twt', 'https://www.youtube.com/channel/UCYzXa0_YsM9gEHkAKXBXbvA']",Grace (그레이스),,,,GreatGuys,https://kpop.fandom.com/wiki/GreatGuys,group,male,"{'subscribers': 94600, 'top_videos': []}",94600.0,[],"['http://cafe.daum.net/GreatGuysOfficial', 'https://www.instagram.com/greatguys_official/', 'https://www.tiktok.com/@greatguys__official', 'https://twitter.com/GreatGuys_twt', 'https://www.youtube.com/channel/UCYzXa0_YsM9gEHkAKXBXbvA']",https://www.youtube.com/channel/UCYzXa0_YsM9gEHkAKXBXbvA
H Boyz,https://static.wikia.nocookie.net/kpop/images/1/1c/H_Boyz_logo.png/revision/latest/scale-to-width-down/350?cb=20220110180206,에이치보이즈,,,"Seoul, South Korea",,,c. 2022,2021-2022,H Company,,[],"['Eunhyun', 'Siyoung', 'Hajun', 'Chanyeong', 'Yeongmin', 'Sea']",[],['https://www.instagram.com/hboyzofficial/'],,,,Ex9 (pre-debut),H Boyz,https://kpop.fandom.com/wiki/H_Boyz,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/hboyzofficial/'],
H.O.T.,https://static.wikia.nocookie.net/kpop/images/b/b2/H.O.T._Infinite_Challenge_promo_photo_%281%29.png/revision/latest/scale-to-width-down/319?cb=20180604181305,,,,"Seoul, South Korea",Pop,"September 7, 1996",May 2001,1996–2001 2018–2019,SM Entertainment,,"['Moon Heejun', 'Jang Woohyuk', 'Tony An', 'Kangta', 'Lee Jaewon']",[],[],[],Club H.O.T. [1],White,,Highfive Of Teenagers HOT,H.O.T.,https://kpop.fandom.com/wiki/H.O.T.,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
HALF&HALF,,,,,"Seoul, South Korea",Pop,,,2024-present,ICE Entertainment,,"['Junseok', 'Moonkyu', 'Heemin', 'Ren', 'Wonjun', 'Jungwook']",[],[],"['https://www.tiktok.com/@@half_half.official', 'https://twitter.com/half_half_offcl']",,,,,HALF&HALF,https://kpop.fandom.com/wiki/HALF%26HALF,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.tiktok.com/@@half_half.official', 'https://twitter.com/half_half_offcl']",
HALO,https://static.wikia.nocookie.net/kpop/images/8/89/HALO_O.M.G._group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20180501033952,,,,"Seoul, South Korea","Pop, dance","June 28, 2014",,2014–2019 (inactive),HISTAR Entertainment (Korea) Pony Canyon (Japan),,[],[],[],[],HALOVE,Pantone 628 C Pantone 2717 C Pantone 19-4057 TCX True Blue,,,HALO,https://kpop.fandom.com/wiki/HALO,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
HAWW,https://static.wikia.nocookie.net/kpop/images/7/7b/HAWW_How_R_U_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20230218154142,하우,,,"Gangnam, Seoul, South Korea",,"February 23, 2023",,2022–present,Biscuit Entertainment,Biscuit Girls,"['Jimin', 'Minyong', 'Chanyoung', 'Louii', 'Juho']",[],[],"['https://www.facebook.com/100086305131770', 'https://www.instagram.com/haww_offcl/', 'https://twitter.com/HAWW_offcl', 'https://www.tiktok.com/@haww_official_', 'https://www.youtube.com/channel/UCISMnMFebB6gy-LdbFiIrpw']",Haru (하루),,,Biscuit Boys (비스킷 보이즈) (pre-debut),HAWW,https://kpop.fandom.com/wiki/HAWW,group,male,"{'subscribers': 54500, 'top_videos': []}",54500.0,[],"['https://www.facebook.com/100086305131770', 'https://www.instagram.com/haww_offcl/', 'https://twitter.com/HAWW_offcl', 'https://www.tiktok.com/@haww_official_', 'https://www.youtube.com/channel/UCISMnMFebB6gy-LdbFiIrpw']",https://www.youtube.com/channel/UCISMnMFebB6gy-LdbFiIrpw
HBY,https://static.wikia.nocookie.net/kpop/images/c/c4/HBY_YOLO_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20190306154853,,,,"Seoul, South Korea",Pop,"August 16, 2017",c. March 2020,2017–2020,OPUS Entertainment,,[],"['Marco', 'Taro', 'Kyuhyuk', 'Jisan', 'Bin']",[],"['http://cafe.daum.net/officialhby', 'https://www.facebook.com/OFFICIALHBY', 'https://www.instagram.com/hby_official/', 'https://twitter.com/Official_HBY', 'https://www.youtube.com/channel/UC_QMDl-ckxwmAs_5VXjnrUw']",,,,H.B.Y Hot Blood Youth,HBY,https://kpop.fandom.com/wiki/HBY,group,male,"{'subscribers': 11600, 'top_videos': []}",11600.0,[],"['http://cafe.daum.net/officialhby', 'https://www.facebook.com/OFFICIALHBY', 'https://www.instagram.com/hby_official/', 'https://twitter.com/Official_HBY', 'https://www.youtube.com/channel/UC_QMDl-ckxwmAs_5VXjnrUw']",https://www.youtube.com/channel/UC_QMDl-ckxwmAs_5VXjnrUw
HeartB,https://static.wikia.nocookie.net/kpop/images/2/26/HeartB_group.png/revision/latest/scale-to-width-down/350?cb=20150915214700,,,,"Seoul, South Korea",Ballad,,,2014–2016,Marblepop Entertainment,,[],"['Jin Wook', 'Chan Yeong', 'Do Jin', 'Byul Ha']",['http://www.heart-b.com/'],[],,,,,HeartB,https://kpop.fandom.com/wiki/HeartB,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
HEARTSTEEL,https://static.wikia.nocookie.net/kpop/images/6/6e/HEARTSTEEL_Paranoia_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20231016181850,,,,,Dance,"October 23, 2023",,2023–present,Riot Games,League of Legends K/DA,"['Sett', ""K'Sante"", 'Ezreal', 'Kayn', 'Aphelios', 'Yone']",[],[],[],HEARTBEATS [1],,,,HEARTSTEEL,https://kpop.fandom.com/wiki/HEARTSTEEL,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
Herycle,https://static.wikia.nocookie.net/kpop/images/4/47/Herycle_Jessy_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20191214142610,,,,South Korea,Dance pop,"August 8, 2014",c. 2014,2012–2014,Gul Dduk Entertainment,,[],"['Mingun', 'Jaejoon', 'Boho', 'Yoseb', 'Jaiil']",[],"['http://cafe.daum.net/heracleslove', 'https://www.facebook.com/Herycle', 'https://twitter.com/gulddukherycle']",Honey Bi,,,,Herycle,https://kpop.fandom.com/wiki/Herycle,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/heracleslove', 'https://www.facebook.com/Herycle', 'https://twitter.com/gulddukherycle']",
Hi-Fi Un!corn,https://static.wikia.nocookie.net/kpop/images/d/d6/Hi-Fi_Un%21corn_Beat_It_Beat_It_group_concept_photo_2.png/revision/latest/scale-to-width-down/350?cb=20250221112810,하이파이유니콘,Haipaiyunikon,ハイファイユニコーン,South Korea,"Rock, pop","June 26, 2023",,2023–present,FNC Entertainment (2023-present) Sony Music Labels (Japan) (2025-present) [1],The Idol Band : Boy's Battle,"['Hyunyul', 'Kiyoon', 'Taemin', 'Shuto', 'Min']",[],['https://www.hifiunicorn.com/'],"['https://www.instagram.com/hfu_official/', 'https://twitter.com/HFU_official', 'https://www.weverse.io/hifiunicorn/artistpedia']",Rasido (Japan),,,항공모함 (Aircraft Carrier),Hi-Fi Un!corn,https://kpop.fandom.com/wiki/Hi-Fi_Un!corn,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/hfu_official/', 'https://twitter.com/HFU_official', 'https://www.weverse.io/hifiunicorn/artistpedia']",
Hidden,https://static.wikia.nocookie.net/kpop/images/9/9e/Hidden_Bad_Love_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20180606151712,,,,"Seoul, South Korea",Pop,,,2015–2016,Yanus Music,,[],"['Kito', 'IDo', 'Seong Bin', 'Wan.E', 'Beom G']",[],[],,,,,Hidden,https://kpop.fandom.com/wiki/Hidden,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
HIDDEN FOLDER,https://static.wikia.nocookie.net/kpop/images/e/ec/Hidden_Folder_Come_On%21_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20200425161211,,,,South Korea,Electronic,"April 24, 2020",,2018–present,Real Music Society SUE Entertainment,,"['Ste', 'Kei Zyun', 'Mansu', 'Hong']",[],[],"['https://www.instagram.com/hiddenfolder.kr/', 'https://twitter.com/hiddenfolder_kr']",,,,,HIDDEN FOLDER,https://kpop.fandom.com/wiki/HIDDEN_FOLDER,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/hiddenfolder.kr/', 'https://twitter.com/hiddenfolder_kr']",
HIGH4,https://static.wikia.nocookie.net/kpop/images/9/95/HIGH4_Blessed_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20170227092316,,,,"Seoul, South Korea",Pop,"April 8, 2014","August 16, 2017",2014–2017,N.A.P. Entertainment,,[],"['Kim Sung Gu', 'Alex', 'Baek Myung Han', 'Yim Young Jun']",['http://high4.jp/'],"['http://cafe.daum.net/highfour', 'https://www.facebook.com/highfour.nap', 'https://www.instagram.com/high4_official/', 'https://twitter.com/high4_nap', 'https://www.facebook.com/high4official.jp', 'https://www.instagram.com/high4_japan_official/', 'https://twitter.com/HIGH4_JP']",High5,,,,HIGH4,https://kpop.fandom.com/wiki/HIGH4,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/highfour', 'https://www.facebook.com/highfour.nap', 'https://www.instagram.com/high4_official/', 'https://twitter.com/high4_nap', 'https://www.facebook.com/high4official.jp', 'https://www.instagram.com/high4_japan_official/', 'https://twitter.com/HIGH4_JP']",
Highlight,https://static.wikia.nocookie.net/kpop/images/1/1b/Highlight_2025_Season%27s_Greetings_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20241118111449,하이라이트,,,"Seoul, South Korea","Dance, pop","October 16, 2009 (South Korea) August 10, 2011 (Japan)",,2009–present,Around US Entertainment (2016–present) Cube Entertainment (2009–2016),,"['Yoon Dujun', 'Yang Yoseop', 'Lee Gikwang', 'Son Dongwoon']","['Jang Hyunseung', 'Yong Junhyung']","['http://www.aroundusent.com/artist/main/1', 'https://www.highlight-fc.jp/']","['https://www.facebook.com/%ED%95%98%EC%9D%B4%EB%9D%BC%EC%9D%B4%ED%8A%B8-Highlight-2394624447221231', 'https://www.instagram.com/highlight_auent/', 'https://twitter.com/Highlight_AUent', 'https://www.youtube.com/channel/UCGdZ_-svzY_hPLYVSKvMFvw', 'https://twitter.com/Highlight_japan']",Light (라이트) (current) [1] B2UTY (뷰티) (former),Dark grey,,BEAST (B2ST; 비스트),Highlight (group),https://kpop.fandom.com/wiki/Highlight_(group),group,male,"{'subscribers': 560000, 'top_videos': []}",560000.0,[],"['https://www.facebook.com/%ED%95%98%EC%9D%B4%EB%9D%BC%EC%9D%B4%ED%8A%B8-Highlight-2394624447221231', 'https://www.instagram.com/highlight_auent/', 'https://twitter.com/Highlight_AUent', 'https://www.youtube.com/channel/UCGdZ_-svzY_hPLYVSKvMFvw', 'https://twitter.com/Highlight_japan']",https://www.youtube.com/channel/UCGdZ_-svzY_hPLYVSKvMFvw
HISTORY,https://static.wikia.nocookie.net/kpop/images/6/68/HISTORY_Him_group_photo.png/revision/latest/scale-to-width-down/350?cb=20160411031859,히스토리,,,"Seoul, South Korea",Pop,"April 26, 2013","May 12, 2017",2013–2017,FAVE Entertainment (Korea) KISS Entertainment (Japan),,[],"['Song Kyung Il', 'Na Do Kyun', 'Kim Si Hyoung', 'Kim Jae Ho', 'Jang Yi Jeong']",[],['https://www.youtube.com/user/HISTORYloen'],STORIA,,,,HISTORY (group),https://kpop.fandom.com/wiki/HISTORY_(group),group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.youtube.com/user/HISTORYloen'],https://www.youtube.com/user/HISTORYloen
HONEYST,https://static.wikia.nocookie.net/kpop/images/1/15/HONEYST_Someone_to_Love_group_photo.png/revision/latest/scale-to-width-down/350?cb=20171123182316,,,,"Seoul, South Korea",Pop,"May 17, 2017","April 26, 2019",2017–2019,FNC Entertainment,,[],"['Kim Chul Min', 'Kim Hwan', 'Seo Dong Sung', 'Oh Seung Seok']",['http://fncent.com/HONEYST/'],"['http://cafe.daum.net/HONEYST', 'https://www.facebook.com/officialHONEYST', 'https://www.instagram.com/HONEYST_BAND/', 'https://twitter.com/honeystofficial', 'https://www.youtube.com/channel/UC57gh6oTjITo6G3LV8B9C_g']",Honeybees,,,,HONEYST,https://kpop.fandom.com/wiki/HONEYST,group,male,"{'subscribers': 17200, 'top_videos': []}",17200.0,[],"['http://cafe.daum.net/HONEYST', 'https://www.facebook.com/officialHONEYST', 'https://www.instagram.com/HONEYST_BAND/', 'https://twitter.com/honeystofficial', 'https://www.youtube.com/channel/UC57gh6oTjITo6G3LV8B9C_g']",https://www.youtube.com/channel/UC57gh6oTjITo6G3LV8B9C_g
HOTSHOT,https://static.wikia.nocookie.net/kpop/images/c/cf/HOTSHOT_Early_Flowering_group_image_teaser_2.png/revision/latest/scale-to-width-down/350?cb=20181115182450,,,,"Seoul, South Korea","Pop, hip-hop","October 29, 2014","March 30, 2021",2014–2021,Star Crew Entertainment,,[],"['Junhyuk', 'Timoteo', 'Taehyun', 'Sungwoon', 'Yoon San', 'Hojung']",[],"['http://cafe.daum.net/HOTSHOT', 'https://www.facebook.com/2014HOTSHOT', 'https://www.instagram.com/officialhotshot/', 'https://twitter.com/2014_HOTSHOT', 'https://www.youtube.com/channel/UCSNRfmzWzoXoNH0i_0G0zQg']",HOTPLE,,Produce 101 Wiki,,HOTSHOT,https://kpop.fandom.com/wiki/HOTSHOT,group,male,"{'subscribers': 28300, 'top_videos': []}",28300.0,[],"['http://cafe.daum.net/HOTSHOT', 'https://www.facebook.com/2014HOTSHOT', 'https://www.instagram.com/officialhotshot/', 'https://twitter.com/2014_HOTSHOT', 'https://www.youtube.com/channel/UCSNRfmzWzoXoNH0i_0G0zQg']",https://www.youtube.com/channel/UCSNRfmzWzoXoNH0i_0G0zQg
Hwang Project,https://static.wikia.nocookie.net/kpop/images/f/f8/Hwang_Project_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20191119205003,황프로젝트,,,"Seoul, South Korea","Ballad, R&B, soul, pop","November 20, 2008",c. 2011,"['2008', '2011']",Jellyfish Entertainment,,"['Hwang Se Jun', 'Hwang Sung Je', 'Hwang Chan Hee']",[],[],[],,,,Former name(s),Hwang Project,https://kpop.fandom.com/wiki/Hwang_Project,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
I-REX,https://static.wikia.nocookie.net/kpop/images/f/ff/I-REX_Rush_To_The_Top_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20191219124348,,,,South Korea,Dance pop,"October 21, 2013",c. 2014,2013–2014,Tarzan Entertainment,,[],"['Chunwoo', 'Yoonwoo', 'Gun', 'Ra.E', 'Hwan']",[],['https://twitter.com/Official_IREX'],,,,,I-REX,https://kpop.fandom.com/wiki/I-REX,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://twitter.com/Official_IREX'],
IB147,https://static.wikia.nocookie.net/kpop/images/a/ab/IB147_Overshock_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20230917060653,,,,South Korea,,"February 14, 2023",c. April 2024,2023–2024,HnA Entertainment,,[],"['Yoonsang', 'Lua', 'Kyul', 'Jooyoung', 'Zen', 'Beomsoo', 'Eun']",[],"['https://www.instagram.com/ib147_official/', 'https://www.tiktok.com/@@ib147_jp.official', 'https://twitter.com/Official_IB147', 'https://www.youtube.com/channel/@ib1476']",,,,,IB147,https://kpop.fandom.com/wiki/IB147,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.instagram.com/ib147_official/', 'https://www.tiktok.com/@@ib147_jp.official', 'https://twitter.com/Official_IB147', 'https://www.youtube.com/channel/@ib1476']",https://www.youtube.com/channel/@ib1476
iKON,https://static.wikia.nocookie.net/kpop/images/5/5a/IKON_Take_Off_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20230421194022,아이콘,,,"Seoul, South Korea","Pop, hip-hop, R&B","September 15, 2015",,2015–present,143 Entertainment (2023-present) YG Entertainment (2015-2022),,"['DK', 'Ju-ne']",['B.I'],"['https://static.wikia.nocookie.net/kpop/images/b/b0/Website_Icon.png/revision/latest?cb=20230315073045', 'http://ygex.jp/ikon/']","['https://www.facebook.com/143iKON', 'https://www.instagram.com/withikonic/', 'https://twitter.com/iKONIC_143', 'https://www.tiktok.com/@ikon_tiktok', 'https://www.weverse.io/ikon/artistpedia', 'https://www.youtube.com/user/OfficialiKON', 'https://ikon.fc.avex.jp']",iKONIC (아이코닉),,IKON Wiki,,IKON,https://kpop.fandom.com/wiki/IKON,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/143iKON', 'https://www.instagram.com/withikonic/', 'https://twitter.com/iKONIC_143', 'https://www.tiktok.com/@ikon_tiktok', 'https://www.weverse.io/ikon/artistpedia', 'https://www.youtube.com/user/OfficialiKON', 'https://ikon.fc.avex.jp']",https://www.youtube.com/user/OfficialiKON
IM,https://static.wikia.nocookie.net/kpop/images/d/d2/IM_debut_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20171128220349,아이엠,,,"Seoul, South Korea",Rock ballad,"September 1, 2017",c. 2019,2017–2019,Yama&Hotchicks Entertainment (2017) MBK Entertainment (2017–2019),IM66,[],"['Giseok', 'Hangyul', 'Taeeun', 'Kijung']",[],[],,,Produce 101 Wiki,I.M,IM (group),https://kpop.fandom.com/wiki/IM_(group),group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
IM66,https://static.wikia.nocookie.net/kpop/images/e/e2/IM66_Instagram_group_photo_%28unknown_date%29.png/revision/latest/scale-to-width-down/350?cb=20220316192538,아이엠66,,,"Seoul, South Korea",,,c. September 2017,2017,MBK Entertainment,IM,[],"['Seong Chae', 'Jun Hyuk', 'KI-O', 'Yun Hyeong', 'Ji Ho', 'Giseok', 'Sang Woo', 'Hangyul', 'Taeeun', 'Kijung']",[],[],,,,,IM66,https://kpop.fandom.com/wiki/IM66,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
IMFACT,https://static.wikia.nocookie.net/kpop/images/c/c3/IMFACT_Lalida_group_concept_photo.png/revision/latest/scale-to-width-down/350?cb=20250125154832,임팩트,,インファクト,"Seoul, South Korea",Pop,"January 27, 2016",,2016–2022 (indefinite hiatus),"Star Empire Entertainment (South Korea, 2016–2022) Oneworld Entertainment (Japan)",,"['Jeup', 'Taeho', 'Jian', 'Leesang', 'Naungjae']",[],['/wiki/Imfact.net'],"['http://cafe.daum.net/IMFACTofficial', 'https://www.facebook.com/officialimfact', 'https://www.instagram.com/official_imfact/', 'https://twitter.com/IMFACTofficial', 'https://www.youtube.com/channel/UCwqwjHeZgPP8lgjvcOTVazQ', 'https://twitter.com/IMFACT_JP']",IF,,,,IMFACT,https://kpop.fandom.com/wiki/IMFACT,group,male,"{'subscribers': 101000, 'top_videos': []}",101000.0,[],"['http://cafe.daum.net/IMFACTofficial', 'https://www.facebook.com/officialimfact', 'https://www.instagram.com/official_imfact/', 'https://twitter.com/IMFACTofficial', 'https://www.youtube.com/channel/UCwqwjHeZgPP8lgjvcOTVazQ', 'https://twitter.com/IMFACT_JP']",https://www.youtube.com/channel/UCwqwjHeZgPP8lgjvcOTVazQ
INFINITE,https://static.wikia.nocookie.net/kpop/images/5/5f/INFINITE_Like_INFINITE_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20250219160313,인피니트,,インフィニット,"Seoul, South Korea","R&B, dance pop, electronic","June 9, 2010 (South Korea) June 5, 2013 (Japan)",,2010–2019 2023-present,INFINITE Company (2023–present) Woollim Entertainment (2010–2022),,"['Sung Kyu', 'Dong Woo', 'Woo Hyun', 'Sung Yeol', 'L', 'Seong Jong']",['Hoya'],"['https://infinite.bstage.in/', 'https://www.universal-music.co.jp/infinite/']","['http://cafe.daum.net/infinite7', 'https://www.facebook.com/IFNT.Official', 'https://www.instagram.com/official_ifnt_/', 'https://twitter.com/IFNT_Official_', 'https://www.youtube.com/@IFNT.Official', 'https://twitter.com/infinite7_jp']",INSPIRIT (인스피릿),Metal Gold Pearl,INFINITE Wiki,,INFINITE,https://kpop.fandom.com/wiki/INFINITE,group,male,"{'subscribers': 164000, 'top_videos': []}",164000.0,[],"['http://cafe.daum.net/infinite7', 'https://www.facebook.com/IFNT.Official', 'https://www.instagram.com/official_ifnt_/', 'https://twitter.com/IFNT_Official_', 'https://www.youtube.com/@IFNT.Official', 'https://twitter.com/infinite7_jp']",https://www.youtube.com/@IFNT.Official
